TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
129.985070944,-1,-1,0,-1,-2,1,-1,-1,2,-5,170,117,-4,-19,220,118,0,0,120,116,116,117,1,11662
129.994964123,-1,-1,0,3,0,-6,0,-1,-2,-90,135,19,-4,-20,220,118,0,0,113,117,120,119,1,11663
130.004038095,-1,-1,0,0,-1,5,1,-1,0,-107,-4,5,-5,-23,224,118,0,0,119,121,117,114,1,11664
130.013105154,-1,-1,0,-1,-12,-10,-1,-6,-2,127,-106,199,-4,-25,219,118,0,0,117,110,113,130,1,11665
130.04095602,-1,-1,0,-2,-6,5,-1,-9,-2,-59,54,121,-5,-19,219,118,0,0,123,117,106,124,1,11666
130.049899101,-1,-1,0,0,-7,-5,-1,-7,0,56,138,211,-5,-12,220,118,0,0,117,114,117,122,1,11667
130.059103966,-1,-1,0,0,-12,-4,0,-10,-4,-64,-185,215,-9,-21,220,118,0,0,115,116,109,129,1,11668
130.068938017,-1,-1,0,0,6,0,0,-3,-2,-72,-23,83,-13,-18,217,118,0,0,118,117,122,113,1,11669
130.09692812,-2,-2,0,-2,1,0,-1,3,0,54,236,116,-14,-9,222,118,0,0,121,114,129,105,1,11670
130.105873108,-2,-1,0,-6,8,2,-4,5,1,21,83,123,-11,5,223,118,0,0,126,111,125,108,1,11671
130.115031958,-2,-1,0,2,0,0,-2,4,0,-52,-51,66,-12,-1,229,118,0,0,118,117,123,112,1,11672
130.124072075,-1,-1,0,-1,1,-1,0,0,-1,-104,-243,200,-14,-8,226,118,0,0,115,119,118,119,1,11673
130.15200901,-1,-2,0,0,-1,-4,0,0,-3,29,40,104,-13,0,231,118,0,0,118,114,120,118,1,11674
130.160953045,-1,-2,0,0,5,1,0,1,-1,-50,-103,217,-12,2,231,118,0,0,119,118,122,111,1,11675
130.170900106,-1,-2,0,0,-6,-8,0,0,-3,111,205,229,-11,9,227,118,0,0,116,112,120,122,1,11676
130.179968119,-1,-2,0,-2,1,6,-1,-2,-1,40,71,159,-8,6,226,118,0,0,123,117,113,117,1,11677
130.208042145,-1,-2,0,4,6,-4,1,4,0,28,-139,36,-10,4,227,118,0,0,113,118,131,107,1,11678
130.217079163,-1,-2,0,0,-8,-4,2,0,-4,-50,-112,18,-9,4,232,118,0,0,113,119,116,122,1,11679
130.225862026,-1,-2,0,0,5,0,0,-1,-2,-102,190,140,-12,12,229,118,0,0,120,115,118,117,1,11680
130.235995054,-1,-2,0,-2,0,1,-1,3,0,-71,-7,85,-12,10,229,118,0,0,121,115,126,108,1,11681
130.263256073,-1,-2,0,0,0,1,-1,0,1,-76,58,63,-12,7,228,118,0,0,121,116,116,117,1,11682
130.272966146,-1,-2,0,1,-3,2,0,-2,2,-13,-77,52,-10,0,226,118,0,0,117,120,115,118,1,11683
130.281940937,-1,-2,0,-1,-3,-1,0,-3,0,-57,-204,148,-9,0,224,118,0,0,117,117,116,120,1,11684
