TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
116.366782189,-3,0,-90,-10,0,31,-15,0,31,0,-17,242,0,-17,242,27,30,0,0,0,0,0,0,10591
116.377920151,-3,0,-90,-10,0,31,-15,0,31,0,-17,242,0,-17,242,27,30,0,0,0,0,0,0,10592
116.392286063,-3,0,-90,-5,-1,30,-13,0,31,-3,-24,238,-3,-24,238,28,30,0,0,0,0,0,0,10593
116.399917126,-3,0,-90,-5,-1,30,-13,0,31,-3,-24,238,-3,-24,238,28,30,0,0,0,0,0,0,10594
116.410897971,-3,0,-90,1,-2,31,-10,0,31,-2,-31,237,-2,-31,237,28,30,0,0,0,0,0,0,10595
116.421672106,-3,0,-90,1,-2,31,-10,0,31,-2,-31,237,-2,-31,237,28,30,0,0,0,0,0,0,10596
116.432876111,-4,0,-90,10,-2,31,-4,-1,31,-2,-35,235,-2,-35,235,28,29,0,0,0,0,0,0,10597
116.443699122,-4,0,-90,10,-2,31,-4,-1,31,-2,-35,235,-2,-35,235,28,29,0,0,0,0,0,0,10598
116.454873085,-4,0,-89,18,-2,31,2,-2,31,0,-35,229,0,-35,229,28,29,0,0,0,0,0,0,10599
116.465964079,-4,0,-89,18,-2,31,2,-2,31,0,-35,229,0,-35,229,28,29,0,0,0,0,0,0,10600
116.477071047,-4,0,-89,26,0,31,10,-2,31,6,-33,221,6,-33,221,28,29,0,0,0,0,0,0,10601
116.487586976,-4,0,-89,26,0,31,10,-2,31,6,-33,221,6,-33,221,28,29,0,0,0,0,0,0,10602
116.498746157,-4,0,-89,32,2,32,18,-2,31,12,-31,214,12,-31,214,28,29,0,0,0,0,0,0,10603
116.514989138,-3,0,-89,34,5,32,26,0,31,12,-31,214,12,-31,214,28,29,0,0,0,0,0,0,10604
116.520661116,-4,0,-89,34,5,32,26,0,31,20,-16,206,20,-16,206,29,29,0,0,0,0,0,0,10605
116.531759024,-3,0,-89,38,10,31,32,2,32,20,-16,206,20,-16,206,29,29,0,0,0,0,0,0,10606
116.542723179,-3,0,-89,38,10,31,32,2,32,21,-8,196,21,-8,196,29,29,0,0,0,0,0,0,10607
116.553788186,-3,0,-88,39,15,30,36,6,32,21,-8,196,21,-8,196,29,29,0,0,0,0,0,0,10608
116.565138102,-3,1,-88,39,15,30,36,6,32,23,0,209,23,0,209,29,29,0,0,0,0,0,0,10609
116.575807095,-2,1,-88,35,24,29,38,10,31,23,0,209,23,0,209,29,29,0,0,0,0,0,0,10610
116.586961031,-2,1,-88,35,24,29,38,10,31,22,7,224,22,7,224,29,29,0,0,0,0,0,0,10611
116.597666979,-2,1,-88,29,30,28,38,15,30,22,7,224,22,7,224,28,29,0,0,0,0,0,0,10612
116.608671189,-1,2,-88,25,33,27,35,23,29,20,12,241,20,12,241,28,29,0,0,0,0,0,0,10613
116.619774104,-1,2,-88,25,33,27,35,23,29,20,12,241,20,12,241,28,29,0,0,0,0,0,0,10614
116.630689145,-1,2,-87,16,38,25,30,30,28,15,18,249,15,18,249,28,29,0,0,0,0,0,0,10615
116.641838074,-1,2,-87,12,40,24,23,35,26,15,18,249,15,18,249,28,29,0,0,0,0,0,0,10616
116.65280819,0,2,-87,12,40,24,23,35,26,5,19,252,5,19,252,28,29,0,0,0,0,0,0,10617
116.664328099,0,2,-87,3,40,22,17,38,25,5,19,252,5,19,252,28,29,0,0,0,0,0,0,10618
116.67511201,0,2,-87,0,39,21,10,40,24,-6,16,243,-6,16,243,29,29,0,0,0,0,0,0,10619
116.685669184,0,2,-87,-3,37,20,4,40,22,-6,16,243,-6,16,243,29,29,0,0,0,0,0,0,10620
116.696772099,0,2,-87,-3,37,20,4,40,22,-18,11,234,-18,11,234,29,29,0,0,0,0,0,0,10621
116.7076931,0,2,-87,-8,29,17,0,39,20,-18,11,234,-18,11,234,29,29,0,0,0,0,0,0,10622
116.718811989,0,1,-87,-8,29,17,0,39,20,-30,7,224,-30,7,224,29,29,0,0,0,0,0,0,10623
116.729839087,0,1,-87,-11,18,15,-4,35,19,-30,7,224,-30,7,224,29,29,0,0,0,0,0,0,10624
116.740756989,0,1,-87,-12,12,14,-7,29,17,-42,2,217,-42,2,217,29,29,0,0,0,0,0,0,10625
116.751762152,0,1,-87,-12,12,14,-7,29,17,-42,2,217,-42,2,217,29,29,0,0,0,0,0,0,10626
116.762833119,0,0,-86,-13,-2,11,-11,19,15,-59,-6,201,-59,-6,201,29,29,0,0,0,0,0,0,10627
116.773895026,0,0,-86,-14,-11,10,-13,9,13,-59,-6,201,-59,-6,201,29,29,0,0,0,0,0,0,10628
116.785057068,0,-1,-86,-14,-11,10,-13,9,13,-62,-10,199,-62,-10,199,29,29,0,0,0,0,0,0,10629
