TiempoEjecucion,AnguloPitch,AnguloRoll,AnguloYaw,G_Pitch,G_Roll,G_Yaw,G_Pitch_filtrada,G_Roll_filtrada,G_Yaw_filtrada,Ax,Ay,Az,Ax_filtrada,Ay_filtrada,Az_filtrada,posZ,posZ_filtrada,velZ,motorDelantero,motorTrasero,motorDerecho,motorIzquierdo,EstadoEncendido,MensajesRecibidos
8.249643088,2,-4,-14,2,-4,-14,1,4,-2,-29,10,227,-29,10,227,35,34,0,0,0,0,0,0,752
8.261450052,2,-3,-14,2,-3,-14,1,3,-1,-29,10,227,-29,10,227,35,34,0,0,0,0,0,0,753
8.279078961,2,-3,-14,2,-3,-14,1,3,-1,-29,10,227,-29,10,227,35,34,0,0,0,0,0,0,754
8.283662081,2,-4,-14,2,-3,-14,2,2,0,-27,9,225,-27,9,225,35,34,0,0,0,0,0,0,755
8.293663025,2,-3,-14,2,-3,-14,2,2,0,-27,9,225,-27,9,225,35,34,0,0,0,0,0,0,756
8.304737091,2,-4,-14,2,-4,-14,2,2,0,-26,10,226,-26,10,226,35,34,0,0,0,0,0,0,757
8.315703869,2,-3,-14,2,-3,-14,2,1,1,-26,10,226,-26,10,226,35,34,0,0,0,0,0,0,758
8.327044964,2,-4,-14,2,-4,-14,3,0,1,-23,10,228,-23,10,228,35,34,0,0,0,0,0,0,759
8.337934971,2,-3,-14,2,-3,-14,4,0,0,-23,10,228,-23,10,228,35,34,0,0,0,0,0,0,760
8.348567963,2,-4,-14,2,-4,-14,4,0,0,-20,12,228,-20,12,228,35,34,0,0,0,0,0,0,761
8.359682083,2,-3,-14,2,-3,-14,5,0,0,-20,12,228,-20,12,228,35,34,0,0,0,0,0,0,762
8.370493889,2,-4,-14,2,-4,-14,5,0,0,-20,14,230,-20,14,230,35,34,0,0,0,0,0,0,763
8.381710053,2,-3,-14,2,-3,-14,5,0,-1,-20,14,230,-20,14,230,35,34,0,0,0,0,0,0,764
8.395009041,2,-3,-15,2,-4,-15,5,1,-3,-22,16,230,-22,16,230,35,34,0,0,0,0,0,0,765
8.403841973,2,-3,-15,2,-4,-15,5,1,-3,-22,16,230,-22,16,230,35,34,0,0,0,0,0,0,766
8.41482687,2,-4,-15,2,-4,-15,4,4,-5,-28,20,230,-28,20,230,35,34,0,0,0,0,0,0,767
8.427295923,2,-3,-15,2,-3,-15,1,6,-7,-28,20,230,-28,20,230,35,34,0,0,0,0,0,0,768
8.436630964,2,-4,-15,2,-4,-15,1,6,-7,-26,19,230,-26,19,230,35,34,0,0,0,0,0,0,769
8.44765997,2,-3,-15,2,-3,-15,-1,8,-8,-26,19,230,-26,19,230,35,34,0,0,0,0,0,0,770
8.459100962,2,-4,-15,2,-4,-15,-1,8,-8,-25,20,230,-25,20,230,35,34,0,0,0,0,0,0,771
8.471140862,2,-3,-15,2,-3,-15,-3,9,-8,-25,20,230,-25,20,230,35,34,0,0,0,0,0,0,772
8.480860949,2,-4,-15,2,-4,-15,-3,9,-8,-26,18,230,-26,18,230,35,34,0,0,0,0,0,0,773
8.491443873,2,-3,-15,2,-3,-15,-6,10,-9,-26,18,230,-26,18,230,35,34,0,0,0,0,0,0,774
8.502508879,2,-4,-15,2,-4,-15,-6,10,-9,-26,16,229,-26,16,229,35,34,0,0,0,0,0,0,775
8.513614893,2,-4,-15,2,-3,-15,-9,11,-11,-26,16,229,-26,16,229,35,34,0,0,0,0,0,0,776
8.524776936,2,-4,-15,2,-4,-15,-9,11,-11,-27,13,229,-27,13,229,35,34,0,0,0,0,0,0,777
8.535733938,2,-4,-15,2,-4,-15,-13,14,-13,-27,13,229,-27,13,229,35,34,0,0,0,0,0,0,778
8.546993017,2,-4,-15,2,-4,-15,-13,14,-13,-27,9,229,-27,9,229,35,34,0,0,0,0,0,0,779
8.557619095,2,-4,-15,2,-4,-15,-17,16,-14,-27,9,229,-27,9,229,35,34,0,0,0,0,0,0,780
8.568693876,2,-4,-15,2,-4,-15,-17,16,-14,-27,8,228,-27,8,228,35,34,0,0,0,0,0,0,781
8.579732895,2,-4,-15,2,-4,-15,-20,19,-15,-27,8,228,-27,8,228,35,34,0,0,0,0,0,0,782
8.590576887,2,-4,-15,2,-4,-15,-20,19,-15,-27,6,227,-27,6,227,34,34,0,0,0,0,0,0,783
8.601829052,1,-4,-15,2,-4,-15,-23,20,-14,-27,6,227,-27,6,227,34,34,0,0,0,0,0,0,784
8.612612963,2,-4,-15,2,-4,-15,-23,20,-14,-27,7,227,-27,7,227,34,34,0,0,0,0,0,0,785
8.62373209,1,-4,-15,1,-3,-15,-26,22,-13,-27,7,227,-27,7,227,34,34,0,0,0,0,0,0,786
8.63470006,1,-4,-15,1,-4,-15,-26,22,-13,-29,7,227,-29,7,227,34,34,0,0,0,0,0,0,787
8.645588875,1,-4,-16,1,-3,-16,-29,24,-12,-29,7,227,-29,7,227,34,34,0,0,0,0,0,0,788
8.656581879,1,-4,-16,1,-4,-16,-29,24,-12,-31,9,227,-31,9,227,34,34,0,0,0,0,0,0,789
8.671169996,1,-4,-16,1,-3,-16,-32,27,-12,-31,9,227,-31,9,227,34,34,0,0,0,0,0,0,790
8.679140091,0,-4,-16,1,-3,-16,-37,30,-13,-33,6,224,-33,6,224,35,34,0,0,0,0,0,0,791
8.689650059,0,-4,-16,1,-3,-16,-37,30,-13,-33,6,224,-33,6,224,35,34,0,0,0,0,0,0,792
8.700753927,0,-4,-16,0,-3,-16,-43,32,-15,-37,5,222,-37,5,222,35,34,0,0,0,0,0,0,793
8.711797953,0,-4,-16,0,-3,-16,-43,32,-15,-37,5,222,-37,5,222,35,34,0,0,0,0,0,0,794
8.722435951,0,-4,-16,0,-3,-16,-50,35,-17,-39,5,219,-39,5,219,35,34,0,0,0,0,0,0,795
8.732806921,0,-4,-16,0,-3,-16,-50,35,-17,-39,5,219,-39,5,219,35,34,0,0,0,0,0,0,796
8.743697882,0,-4,-16,0,-4,-16,-56,37,-20,-48,-2,212,-48,-2,212,35,34,0,0,0,0,0,0,797
8.754858017,0,-4,-16,0,-4,-16,-56,37,-20,-48,-2,212,-48,-2,212,35,34,0,0,0,0,0,0,798
8.767198086,-1,-4,-17,0,-4,-17,-63,39,-25,-50,-12,207,-50,-12,207,15,32,-1,0,0,0,0,0,799
8.776664972,-1,-4,-17,0,-4,-17,-63,39,-25,-50,-12,207,-50,-12,207,15,32,-1,0,0,0,0,0,800
8.787584067,-2,-5,-17,-1,-4,-17,-72,42,-31,-52,-30,203,-52,-30,203,15,32,-1,0,0,0,0,0,801
8.798593044,-2,-5,-17,-1,-4,-17,-72,42,-31,-52,-30,203,-52,-30,203,15,32,-1,0,0,0,0,0,802
8.810541868,-4,-5,-18,-2,-4,-18,-84,45,-38,-55,-54,193,-55,-54,193,15,32,-1,0,0,0,0,0,803
8.823564053,-5,-4,-18,-3,-3,-18,-95,49,-46,-55,-54,193,-55,-54,193,15,32,-1,0,0,0,0,0,804
8.831923962,-6,-5,-18,-4,-4,-18,-95,49,-46,-57,-76,192,-57,-76,192,15,32,-1,0,0,0,0,0,805
8.842694998,-6,-4,-19,-4,-3,-19,-102,53,-54,-57,-76,192,-57,-76,192,15,32,-1,0,0,0,0,0,806
8.853658915,-8,-5,-19,-6,-4,-19,-103,56,-61,-62,-92,191,-62,-92,191,6,30,-2,0,0,0,0,0,807
8.864821911,-8,-5,-19,-6,-4,-19,-103,56,-61,-62,-92,191,-62,-92,191,6,30,-2,0,0,0,0,0,808
8.8755579,-10,-5,-20,-7,-4,-20,-100,57,-65,-65,-108,185,-65,-108,185,6,30,-2,0,0,0,0,0,809
8.887567997,-10,-5,-20,-7,-4,-20,-100,57,-65,-65,-108,185,-65,-108,185,6,30,-2,0,0,0,0,0,810
8.897752047,-12,-6,-20,-9,-5,-20,-94,56,-66,-70,-125,178,-70,-125,178,5,27,-2,0,0,0,0,0,811
8.908668041,-12,-6,-20,-9,-5,-20,-94,56,-66,-70,-125,178,-70,-125,178,5,27,-2,0,0,0,0,0,812
8.919759989,-14,-6,-21,-11,-5,-21,-86,53,-65,-71,-137,173,-71,-137,173,5,27,-2,0,0,0,0,0,813
8.93087697,-14,-6,-21,-11,-5,-21,-86,53,-65,-71,-137,173,-71,-137,173,5,27,-2,0,0,0,0,0,814
8.941570997,-16,-7,-21,-13,-6,-21,-72,46,-61,-74,-151,174,-74,-151,174,5,25,-2,0,0,0,0,0,815
8.952754021,-16,-7,-21,-13,-6,-21,-72,46,-61,-74,-151,174,-74,-151,174,5,25,-2,0,0,0,0,0,816
